patch_id,region,salinity_prior,rank_overall,rank_in_region,ndvi_mean,ndwi_mean,si_mean,ndsi_swir_mean,sr_swir_mean,vh_vv_ratio_mean,vv_mean,water_dominant,vegetation_dominant,bare_soil_dominant,likely_saline_candidate
patch_pingluo_002,pingluo,0.2097,29,23,0.5881,-0.5467,674.45,0.2431,1.6682,1.6287,-12.1926,False,True,False,False
patch_pingluo_014,pingluo,0.2093,30,24,0.5424,-0.5257,706.26,0.2065,1.5453,1.5996,-12.9436,False,True,False,False
patch_pingluo_007,pingluo,0.209,31,25,0.5342,-0.4849,676.9,0.2099,1.5628,1.6115,-12.9927,False,True,False,False
patch_daan_005,daan,0.2077,32,7,0.5251,-0.518,744.19,0.2222,1.6058,1.7306,-11.0725,False,True,False,False
patch_daan_025,daan,0.2037,33,8,0.4118,-0.4045,248.66,0.2526,1.7016,1.7712,-11.5849,False,True,False,False
patch_daan_027,daan,0.2033,34,9,0.4307,-0.402,530.11,0.2136,1.584,1.6175,-12.7647,False,True,False,False
patch_pingluo_025,pingluo,0.202,35,26,0.5242,-0.5186,909.62,0.2041,1.5371,1.7728,-10.804,False,True,False,False
patch_daan_023,daan,0.1947,36,10,0.5983,-0.5298,410.92,0.2752,1.79,1.5665,-13.2968,False,True,False,False
patch_pingluo_015,pingluo,0.1933,37,27,0.6032,-0.5761,740.48,0.2318,1.6327,1.7169,-11.1259,False,True,False,False
patch_daan_010,daan,0.1893,38,11,0.6875,-0.6208,443.21,0.2938,1.863,1.5758,-12.8251,False,True,False,False
patch_pingluo_026,pingluo,0.189,39,28,0.5795,-0.5658,698.4,0.2254,1.613,1.7126,-10.7574,False,True,False,False
patch_daan_009,daan,0.1873,40,12,0.5774,-0.5618,627.32,0.2323,1.6439,3.2533,-10.7954,False,True,False,False
patch_pingluo_030,pingluo,0.1867,41,29,0.586,-0.5746,694.26,0.224,1.6057,1.7819,-11.0681,False,True,False,False
patch_daan_007,daan,0.179,42,13,0.7137,-0.6536,452.43,0.2953,1.8558,1.5917,-12.4249,False,True,False,False
patch_pingluo_011,pingluo,0.179,43,30,0.6443,-0.6188,611.02,0.2445,1.671,1.7083,-11.6758,False,True,False,False
patch_daan_018,daan,0.1747,44,14,0.6054,-0.5974,419.14,0.2753,1.7985,1.6454,-11.3024,False,True,False,False
patch_daan_002,daan,0.1737,45,15,0.6052,-0.5785,562.43,0.2415,1.6704,1.7322,-10.8206,False,True,False,False
patch_daan_012,daan,0.172,46,16,0.6655,-0.6034,415.2,0.2822,1.8233,1.6163,-11.8558,False,True,False,False
patch_daan_026,daan,0.171,47,17,0.683,-0.6439,442.09,0.2796,1.8124,1.6012,-11.8249,False,True,False,False
patch_daan_008,daan,0.1693,48,18,0.5909,-0.5676,633.25,0.2293,1.647,2.0375,-10.4594,False,True,False,False
patch_daan_024,daan,0.1663,49,19,0.6096,-0.578,559.02,0.235,1.6432,1.7063,-11.1017,False,True,False,False
patch_daan_017,daan,0.1657,50,20,0.6114,-0.5829,423.07,0.2544,1.7028,1.7479,-11.1171,False,True,False,False
patch_daan_014,daan,0.1527,51,21,0.7108,-0.6635,422.99,0.2955,1.8901,1.7028,-10.6749,False,True,False,False
patch_daan_029,daan,0.152,52,22,0.6984,-0.6704,434.13,0.2871,1.8324,1.6458,-10.6669,False,True,False,False
patch_daan_028,daan,0.151,53,23,0.6694,-0.6503,408.44,0.295,1.8717,1.6882,-10.1042,False,True,False,False
patch_daan_004,daan,0.15,54,24,0.6363,-0.6192,504.41,0.2501,1.6955,1.7324,-10.006,False,True,False,False
patch_daan_001,daan,0.141,55,25,0.7011,-0.6667,439.15,0.2852,1.8205,1.6648,-10.3723,False,True,False,False
patch_daan_021,daan,0.14,56,26,0.7013,-0.6665,458.66,0.2807,1.8219,1.6106,-10.0743,False,True,False,False
patch_daan_020,daan,0.1387,57,27,0.7222,-0.6547,415.47,0.2894,1.8317,1.6848,-10.7725,False,True,False,False
patch_daan_019,daan,0.134,58,28,0.6868,-0.6408,474.87,0.2493,1.681,1.8038,-9.9398,False,True,False,False
patch_daan_006,daan,0.0645,59,29,-0.081,0.1832,533.19,0.1427,1.4297,1.5046,-19.6453,True,False,False,False
patch_daan_011,daan,0.0639,60,30,-0.1006,0.1914,592.4,0.127,1.3494,1.559,-17.8803,True,False,False,False
